intento: 2 tiempo: 0.021 [0.0344804848514244 0.00600945070410318 0.00631654738674109 0.00519843416456929 0.00567414517170443 0.00440971614592392 0.00419971763611882;0.00600945070410318 0.0361869445589678 0.00597640395752136 0.00578318170028813 0.0058755001829644 0.00466417579715446 0.00598568190703671;0.00631654738674109 0.00597640395752136 0.0351717521719525 0.00555275223562009 0.00435141490113557 0.0043527982463403 0.00452021346159423;0.00519843416456929 0.00578318170028813 0.00555275223562009 0.0341345981916476 0.00486693702249156 0.00479717764558724 0.00449462716461817;0.00567414517170443 0.0058755001829644 0.00435141490113557 0.00486693702249156 0.0325784555973269 0.00356494804026315 0.004057322680782;0.00440971614592392 0.00466417579715446 0.0043527982463403 0.00479717764558724 0.00356494804026315 0.0312722645272887 0.00506556687457257;0.00419971763611882 0.00598568190703671 0.00452021346159423 0.00449462716461817 0.004057322680782 0.00506556687457257 0.0336415499390846]
intento: 4 tiempo: 0.018 [0.0309610263321448 0.00500558474531389 0.00334168986707922 0.00541481349656636 0.00569366834051261 0.00452359996558059 0.00488953301044587;0.00500558474531389 0.0308743521978866 0.00339775692917631 0.00432464626546742 0.00530526805554637 0.00396687163406966 0.00239696571210435;0.00334168986707922 0.00339775692917631 0.0289552613427285 0.0032726696277124 0.00490254072871159 0.00304732047584103 0.00210217853669998;0.00541481349656636 0.00432464626546742 0.0032726696277124 0.0306887897142192 0.00453200332481001 0.00388727259606149 0.00360120029239779;0.00569366834051261 0.00530526805554637 0.00490254072871159 0.00453200332481001 0.0317043143500167 0.00405165832946045 0.00500868499974907;0.00452359996558059 0.00396687163406966 0.00304732047584103 0.00388727259606149 0.00405165832946045 0.0282762976867083 0.00304141886529783;0.00488953301044587 0.00239696571210435 0.00210217853669998 0.00360120029239779 0.00500868499974907 0.00304141886529783 0.0298972706729272]
intento: 6 tiempo: 0.02 [0.0370205135080295 0.004270664443706 0.00629216510185999 0.00653575925740523 0.00662566073966594 0.00538676812015219 0.0038964508065234;0.004270664443706 0.0320338201590655 0.00493169451177724 0.00439131948768649 0.00526664478064456 0.0038334709917857 0.00260192568355611;0.00629216510185999 0.00493169451177724 0.0341150501688437 0.00499262292670649 0.0063240847256107 0.0047633609015744 0.0034173585237418;0.00653575925740523 0.00439131948768649 0.00499262292670649 0.0355711316666745 0.0073062986123978 0.00501541653279929 0.00411794814629584;0.00662566073966594 0.00526664478064456 0.0063240847256107 0.0073062986123978 0.0367457075342827 0.00619115128035201 0.00573366640323285;0.00538676812015219 0.0038334709917857 0.0047633609015744 0.00501541653279929 0.00619115128035201 0.031701617184404 0.00348766622021973;0.0038964508065234 0.00260192568355611 0.0034173585237418 0.00411794814629584 0.00573366640323285 0.00348766622021973 0.0318965722412542]
intento: 8 tiempo: 0.014 [0.0365030425797252 0.00449122149613785 0.00509382550286384 0.0061756274912241 0.00520266128673072 0.00510208869747311 0.00638815207363651;0.00449122149613785 0.0374386479798346 0.00497413041699607 0.00517547623678241 0.00397476043554074 0.00661681338828771 0.00466414465765497;0.00509382550286384 0.00497413041699607 0.0344245750469118 0.00615706104078037 0.00383387522977397 0.00473309636230267 0.00636605371935808;0.0061756274912241 0.00517547623678241 0.00615706104078037 0.0350570143707586 0.0053057175928393 0.00400682128895998 0.007225466644953;0.00520266128673072 0.00397476043554074 0.00383387522977397 0.0053057175928393 0.0339880240361655 0.00296644529960643 0.0044185962020601;0.00510208869747311 0.00661681338828771 0.00473309636230267 0.00400682128895998 0.00296644529960643 0.0327561840435406 0.00445507178752197;0.00638815207363651 0.00466414465765497 0.00636605371935808 0.007225466644953 0.0044185962020601 0.00445507178752197 0.0366837323078714]
intento: 10 tiempo: 0.017 [0.0311109457466722 0.00320457488731551 0.0041080079613531 0.00336892407630546 0.0047907676155977 0.00495237819435886 0.00444624304739603;0.00320457488731551 0.0288651330869054 0.00372603351485354 0.00407181958954987 0.00391296082551468 0.00330012932600008 0.00331655138789667;0.0041080079613531 0.00372603351485354 0.0296852429764885 0.00386574415998287 0.00409539777592963 0.00430141248100765 0.00435063319498221;0.00336892407630546 0.00407181958954987 0.00386574415998287 0.0296217977632629 0.00512125873287241 0.00379194394100799 0.00431097461479668;0.0047907676155977 0.00391296082551468 0.00409539777592963 0.00512125873287241 0.0320866875766683 0.00480657868111667 0.00413088708056115;0.00495237819435886 0.00330012932600008 0.00430141248100765 0.00379194394100799 0.00480657868111667 0.0317592828007437 0.00468354463697691;0.00444624304739603 0.00331655138789667 0.00435063319498221 0.00431097461479668 0.00413088708056115 0.00468354463697691 0.0283523362071505]
intento: 12 tiempo: 0.017 [0.0319506473435733 0.00497755830418537 0.00372233959656451 0.00297196383222224 0.00343842033226962 0.0038165576062793 0.00424153601206158;0.00497755830418537 0.0341924996875847 0.00683095017257239 0.00481544237040011 0.00637057082044398 0.00478924238510134 0.00631925886621104;0.00372233959656451 0.00683095017257239 0.0333916382781392 0.00543317658417124 0.00518974822010189 0.0058560544482987 0.00534557440512184;0.00297196383222224 0.00481544237040011 0.00543317658417124 0.0310022702986333 0.00429044368538034 0.00373429915527242 0.00374887860683564;0.00343842033226962 0.00637057082044398 0.00518974822010189 0.00429044368538034 0.0333436933563091 0.00504277309272846 0.00554520290714121;0.0038165576062793 0.00478924238510134 0.0058560544482987 0.00373429915527242 0.00504277309272846 0.033451464405838 0.00511634879174653;0.00424153601206158 0.00631925886621104 0.00534557440512184 0.00374887860683564 0.00554520290714121 0.00511634879174653 0.0319289435258551]
intento: 14 tiempo: 0.017 [0.0353044614464192 0.00553107155279433 0.00635807940620086 0.00518348572357055 0.0046340847629122 0.00728965534022966 0.00586680021161165;0.00553107155279433 0.0334624550172702 0.00559009824440928 0.00399105816409936 0.00564979289744411 0.00666537454379682 0.00410498178596874;0.00635807940620086 0.00559009824440928 0.0351850007633444 0.00433379135372857 0.00385715564124095 0.00507107796539527 0.00520992477915919;0.00518348572357055 0.00399105816409936 0.00433379135372857 0.0315020681176093 0.00381738195484159 0.00397828741828568 0.0051137744051234;0.0046340847629122 0.00564979289744411 0.00385715564124095 0.00381738195484159 0.0332182041834018 0.00511716503766668 0.00317353432519746;0.00728965534022966 0.00666537454379682 0.00507107796539527 0.00397828741828568 0.00511716503766668 0.0344262279270913 0.00489563867176515;0.00586680021161165 0.00410498178596874 0.00520992477915919 0.0051137744051234 0.00317353432519746 0.00489563867176515 0.0329397919013051]
intento: 16 tiempo: 0.014 [0.0323440702581573 0.00406179329426191 0.00486123628242967 0.00534553171500512 0.0040957879562639 0.00568874481381803 0.00528935016833951;0.00406179329426191 0.0337902980334992 0.00438226778683209 0.00445070673012187 0.00439744911032753 0.00442180166770013 0.00414209573048103;0.00486123628242967 0.00438226778683209 0.0343374529516306 0.00700272661217601 0.00567694276910054 0.00554642825248232 0.00474795646356016;0.00534553171500512 0.00445070673012187 0.00700272661217601 0.0360575413680114 0.00654808269808043 0.00571939495088794 0.00492651539680407;0.0040957879562639 0.00439744911032753 0.00567694276910054 0.00654808269808043 0.0327610314498521 0.00467390427911221 0.00544674808385543;0.00568874481381803 0.00442180166770013 0.00554642825248232 0.00571939495088794 0.00467390427911221 0.0335507108158099 0.00542710620617935;0.00528935016833951 0.00414209573048103 0.00474795646356016 0.00492651539680407 0.00544674808385543 0.00542710620617935 0.0346817942851853]
intento: 18 tiempo: 0.013 [0.0355933965729277 0.00494931402643417 0.00461109393436238 0.00547631776781755 0.00414020503730898 0.00391679786945681 0.0064461549681993;0.00494931402643417 0.0373905186231884 0.00406865500821876 0.00522456480390431 0.00615404086354838 0.00605893368171086 0.00755657806363245;0.00461109393436238 0.00406865500821876 0.0363301440856805 0.00582600530334528 0.0036050332429065 0.0060429814109896 0.00441895712658264;0.00547631776781755 0.00522456480390431 0.00582600530334528 0.0376701768571092 0.00567669379001461 0.0069727022317086 0.00572934073739077;0.00414020503730898 0.00615404086354838 0.0036050332429065 0.00567669379001461 0.034754460895662 0.00499343648116777 0.0050745183751522;0.00391679786945681 0.00605893368171086 0.0060429814109896 0.0069727022317086 0.00499343648116777 0.0373216820184058 0.00772417902246105;0.0064461549681993 0.00755657806363245 0.00441895712658264 0.00572934073739077 0.0050745183751522 0.00772417902246105 0.039090243392581]
intento: 20 tiempo: 0.017 [0.0326330731250315 0.00535088137581215 0.00298993634955006 0.00378111944450349 0.00451448508157348 0.00545560858787358 0.00416408545469859;0.00535088137581215 0.0326083666252985 0.00486125997530197 0.00512295911431496 0.00359856112822766 0.00521728324825378 0.00438384651003649;0.00298993634955006 0.00486125997530197 0.0316778374134768 0.00394209004612563 0.00349588218918029 0.00330390243928336 0.00290022388499109;0.00378111944450349 0.00512295911431496 0.00394209004612563 0.0319966987209823 0.00512223935407784 0.00483050873716752 0.00556042840383995;0.00451448508157348 0.00359856112822766 0.00349588218918029 0.00512223935407784 0.0328633111811786 0.00415294609184199 0.0041739678236085;0.00545560858787358 0.00521728324825378 0.00330390243928336 0.00483050873716752 0.00415294609184199 0.0331681760808351 0.00538511001112053;0.00416408545469859 0.00438384651003649 0.00290022388499109 0.00556042840383995 0.0041739678236085 0.00538511001112053 0.0313134484387753]
