intento: 1 tiempo: 0.055 [0.033517959724719 0.00574320156486705 0.00486613515063399 0.00421983751429595 0.0047386561449893 0.00553626121318448 0.0043468803493847;0.00574320156486705 0.0323604584786292 0.00454290552037605 0.00385592345165339 0.00431669249569944 0.00550998484987636 0.00512019613205972;0.00486613515063399 0.00454290552037605 0.0327553799867216 0.0048249721977049 0.00490878285674557 0.00566688296698871 0.0055988649188324;0.00421983751429595 0.00385592345165339 0.0048249721977049 0.0297860292559542 0.0045969507429448 0.00460995947634877 0.00327874461080181;0.0047386561449893 0.00431669249569944 0.00490878285674557 0.0045969507429448 0.0305817809423978 0.00515436692042117 0.00475584394119774;0.00553626121318448 0.00550998484987636 0.00566688296698871 0.00460995947634877 0.00515436692042117 0.031484941281278 0.00485102740997772;0.0043468803493847 0.00512019613205972 0.0055988649188324 0.00327874461080181 0.00475584394119774 0.00485102740997772 0.0302100512817812]
intento: 2 tiempo: 0.017 [0.0292573027653849 0.00337080043787963 0.00303464413689442 0.00380459101888438 0.00315386255392368 0.00312555968598656 0.00268433201204435;0.00337080043787963 0.0301723953174575 0.00323162008521435 0.00359052944579305 0.0032611411245749 0.00296605694854262 0.00245463082758027;0.00303464413689442 0.00323162008521435 0.030332023757899 0.0027581951724102 0.00383720163951994 0.00388613625900183 0.00426745593135628;0.00380459101888438 0.00359052944579305 0.0027581951724102 0.0318878531858932 0.00388170181078054 0.0043106967060987 0.00293134168585025;0.00315386255392368 0.0032611411245749 0.00383720163951994 0.00388170181078054 0.0289342712297269 0.00273603706075401 0.00255451170696969;0.00312555968598656 0.00296605694854262 0.00388613625900183 0.0043106967060987 0.00273603706075401 0.0310032744616121 0.00438180156360595;0.00268433201204435 0.00245463082758027 0.00426745593135628 0.00293134168585025 0.00255451170696969 0.00438180156360595 0.0293067087301076]
intento: 3 tiempo: 0.016 [0.0302501438513826 0.00301233427240612 0.00330522315704333 0.00278547085348818 0.00401508114849018 0.00295532063430883 0.00264014304625168;0.00301233427240612 0.0314784336854219 0.00357334213838807 0.00309844802334255 0.00421378905313341 0.00344564607301704 0.00450660464375165;0.00330522315704333 0.00357334213838807 0.0310458126916958 0.00270929700397695 0.00323269416214063 0.00285358772009739 0.00351730527862492;0.00278547085348818 0.00309844802334255 0.00270929700397695 0.0295523802484489 0.00395652909871913 0.00233729220242073 0.00315652400719524;0.00401508114849018 0.00421378905313341 0.00323269416214063 0.00395652909871913 0.0298998662097741 0.00328252307282844 0.00430816916993263;0.00295532063430883 0.00344564607301704 0.00285358772009739 0.00233729220242073 0.00328252307282844 0.0308459222461344 0.00389620793047517;0.00264014304625168 0.00450660464375165 0.00351730527862492 0.00315652400719524 0.00430816916993263 0.00389620793047517 0.0302030020925503]
intento: 4 tiempo: 0.016 [0.0310238929920392 0.00212018894736208 0.00337162819488756 0.00398514119290904 0.00349601001551417 0.00375205699335763 0.00401225564005054;0.00212018894736208 0.0304580367378899 0.0021312328843034 0.00336990261673896 0.00345129805889432 0.00357167211097223 0.00319146616619493;0.00337162819488756 0.0021312328843034 0.0310186103017952 0.00388653277662347 0.00418282897235394 0.00365143971422484 0.00319767226655552;0.00398514119290904 0.00336990261673896 0.00388653277662347 0.0300123838888749 0.00379081641295772 0.00512601457909043 0.00401654333561202;0.00349601001551417 0.00345129805889432 0.00418282897235394 0.00379081641295772 0.0306290644286314 0.0050410833381032 0.00386641756559129;0.00375205699335763 0.00357167211097223 0.00365143971422484 0.00512601457909043 0.0050410833381032 0.0319336190495103 0.00427371331441109;0.00401225564005054 0.00319146616619493 0.00319767226655552 0.00401654333561202 0.00386641756559129 0.00427371331441109 0.0290491167937534]
intento: 5 tiempo: 0.017 [0.0291529027479786 0.00323858395650426 0.00264499673733086 0.00358541213847595 0.00173578413835536 0.00269510276050084 0.00227804784209524;0.00323858395650426 0.029591958600989 0.00371024302691909 0.00350685259406393 0.00318447169247126 0.00416589498859181 0.00290179919795292;0.00264499673733086 0.00371024302691909 0.0308816705691655 0.00252893566536762 0.00288865480748142 0.00325034734070081 0.00261964557229559;0.00358541213847595 0.00350685259406393 0.00252893566536762 0.0302176352692599 0.00337997885232436 0.00391226593968131 0.00243865099110619;0.00173578413835536 0.00318447169247126 0.00288865480748142 0.00337997885232436 0.0297866496204551 0.00331655481602723 0.00257587806560031;0.00269510276050084 0.00416589498859181 0.00325034734070081 0.00391226593968131 0.00331655481602723 0.0320595131337297 0.00352337989873072;0.00227804784209524 0.00290179919795292 0.00261964557229559 0.00243865099110619 0.00257587806560031 0.00352337989873072 0.0293557882295658]
intento: 6 tiempo: 0.017 [0.0320850547968532 0.00350194773387618 0.00333886158570768 0.00415098955913016 0.00390355498614576 0.00544653583355823 0.00196291135797636;0.00350194773387618 0.0316764699007111 0.00442166047768533 0.0038388998623154 0.00546200180532283 0.00352961610174275 0.00294681037083208;0.00333886158570768 0.00442166047768533 0.0290930109280926 0.00380312670976089 0.00346281042949585 0.0053935073609256 0.00274439765285896;0.00415098955913016 0.0038388998623154 0.00380312670976089 0.0297467941232161 0.0044815804086582 0.00490111808423073 0.00344955561465131;0.00390355498614576 0.00546200180532283 0.00346281042949585 0.0044815804086582 0.030986483139736 0.00431671289674805 0.00245191022715049;0.00544653583355823 0.00352961610174275 0.0053935073609256 0.00490111808423073 0.00431671289674805 0.0335988739581075 0.00368185524567065;0.00196291135797636 0.00294681037083208 0.00274439765285896 0.00344955561465131 0.00245191022715049 0.00368185524567065 0.0294164756928423]
intento: 7 tiempo: 0.017 [0.0310793645170897 0.00497418573821557 0.00389146669211032 0.00373790350272282 0.00531725584594829 0.00413754290758074 0.00359320954720374;0.00497418573821557 0.0315374214732514 0.00430424552627726 0.00398491671559112 0.00507793020899342 0.00437523192878587 0.00402796657285009;0.00389146669211032 0.00430424552627726 0.0291428376155819 0.0044612137252839 0.00407224099730582 0.00347677078083978 0.00312672505859185;0.00373790350272282 0.00398491671559112 0.0044612137252839 0.0295007829336363 0.00375735684584053 0.00306113463718774 0.00396591112482265;0.00531725584594829 0.00507793020899342 0.00407224099730582 0.00375735684584053 0.0316033627035245 0.00476738272653109 0.00440462062774908;0.00413754290758074 0.00437523192878587 0.00347677078083978 0.00306113463718774 0.00476738272653109 0.0297064477419812 0.00326145487642326;0.00359320954720374 0.00402796657285009 0.00312672505859185 0.00396591112482265 0.00440462062774908 0.00326145487642326 0.0310353872583493]
intento: 8 tiempo: 0.016 [0.0301666638288899 0.00212616979219035 0.00333198245008977 0.00391226489509809 0.00366808838341167 0.0030751756472201 0.00313921686481213;0.00212616979219035 0.0283434774627745 0.00270943023524152 0.00299471197908812 0.00182313264383654 0.00250773015534287 0.00264049635567543;0.00333198245008977 0.00270943023524152 0.0291679099683373 0.00280903992331847 0.00324124495886574 0.00206381569037574 0.00229551128980329;0.00391226489509809 0.00299471197908812 0.00280903992331847 0.0291308520045505 0.00303823432828515 0.00294393341079971 0.0019764020212472;0.00366808838341167 0.00182313264383654 0.00324124495886574 0.00303823432828515 0.0291965056233972 0.00262999798515118 0.00278896898608627;0.0030751756472201 0.00250773015534287 0.00206381569037574 0.00294393341079971 0.00262999798515118 0.0298104153673368 0.00389753818894406;0.00313921686481213 0.00264049635567543 0.00229551128980329 0.0019764020212472 0.00278896898608627 0.00389753818894406 0.0295055837482089]
intento: 9 tiempo: 0.016 [0.0328017706123382 0.00466448612149263 0.00465871327225264 0.00419362439800556 0.00527889903086993 0.00409945326094171 0.00450927226529677;0.00466448612149263 0.0316879145229401 0.00336256489200009 0.00351941091086094 0.0035640942686037 0.00317712847404383 0.00334558819461472;0.00465871327225264 0.00336256489200009 0.0306531400041032 0.00391797889803847 0.00370485192936207 0.00396580611507178 0.0040573577735413;0.00419362439800556 0.00351941091086094 0.00391797889803847 0.0301955301330035 0.0045880644773648 0.00261007451538534 0.00389536323546007;0.00527889903086993 0.0035640942686037 0.00370485192936207 0.0045880644773648 0.0313418702754654 0.00376129485729053 0.00451853652309585;0.00409945326094171 0.00317712847404383 0.00396580611507178 0.00261007451538534 0.00376129485729053 0.0305586991757638 0.00407962775372372;0.00450927226529677 0.00334558819461472 0.0040573577735413 0.00389536323546007 0.00451853652309585 0.00407962775372372 0.0305615667536668]
intento: 10 tiempo: 0.016 [0.0307247215789236 0.00499639490916167 0.00421996949878085 0.00415588746138558 0.00455686744569219 0.00487412137724209 0.0043443558475162;0.00499639490916167 0.0300805024486461 0.0043689241594358 0.00347141914825638 0.00414893970155755 0.00449234288234097 0.0039363695092204;0.00421996949878085 0.0043689241594358 0.0304784983126151 0.00412679706493209 0.0042589805020179 0.00411461353863188 0.00451417590835426;0.00415588746138558 0.00347141914825638 0.00412679706493209 0.0298165649146349 0.00368192182392996 0.00301238468640427 0.00373932880528498;0.00455686744569219 0.00414893970155755 0.0042589805020179 0.00368192182392996 0.0299841758498702 0.00477189789710883 0.00402233565446527;0.00487412137724209 0.00449234288234097 0.00411461353863188 0.00301238468640427 0.00477189789710883 0.0321649186679802 0.00422698083956966;0.0043443558475162 0.0039363695092204 0.00451417590835426 0.00373932880528498 0.00402233565446527 0.00422698083956966 0.030993723759373]
