intento: 2 tiempo: 0.023 [0.0261088166510349 0.00282359019031814 0.00267945569105296 0.00273437192707379 0.00362227512028874 0.00302627381202798 0.0030590702874955 0.00262677521653939 0.00171712881399751;0.00282359019031814 0.0263543650153794 0.0029732322654092 0.00323656761500314 0.00380505202818138 0.00288213002661632 0.0023685622355423 0.00344846264134627 0.00292468325390876;0.00267945569105296 0.0029732322654092 0.0260457396956928 0.00239567481837869 0.00305390015273268 0.00382966970671653 0.0028752740296795 0.00296137530876436 0.00251073203258295;0.00273437192707379 0.00323656761500314 0.00239567481837869 0.0268046421280517 0.00311598151307271 0.00325918762774088 0.00295601248188542 0.00343045470124995 0.00256803712197011;0.00362227512028874 0.00380505202818138 0.00305390015273268 0.00311598151307271 0.0256702627306087 0.00294617151386353 0.00340688559122748 0.00311088237614918 0.00269494994691882;0.00302627381202798 0.00288213002661632 0.00382966970671653 0.00325918762774088 0.00294617151386353 0.0264053468302652 0.00292422538466835 0.00248369342096032 0.0025710467847015;0.0030590702874955 0.0023685622355423 0.0028752740296795 0.00295601248188542 0.00340688559122748 0.00292422538466835 0.0258352243660058 0.00327078158577792 0.00310903506271141;0.00262677521653939 0.00344846264134627 0.00296137530876436 0.00343045470124995 0.00311088237614918 0.00248369342096032 0.00327078158577792 0.0265118997397434 0.00165348051586548;0.00171712881399751 0.00292468325390876 0.00251073203258295 0.00256803712197011 0.00269494994691882 0.0025710467847015 0.00310903506271141 0.00165348051586548 0.0260256232385818]
intento: 4 tiempo: 0.021 [0.0258547697855478 0.00297513803912686 0.0029429054585244 0.0029178701085377 0.0019915607179885 0.0026453774205599 0.00240428545191141 0.00287102162887843 0.00273318183823662;0.00297513803912686 0.0256639329665041 0.00341079680010352 0.00319300524525199 0.00310138082060019 0.00309715425182901 0.00356376015739176 0.0027128682612207 0.00378647937981795;0.0029429054585244 0.00341079680010352 0.025802039280841 0.00326780668316776 0.0033688194529824 0.00359688660609541 0.00374909953812848 0.00328390148111315 0.00237436051992571;0.0029178701085377 0.00319300524525199 0.00326780668316776 0.0256969783745935 0.00262473306684388 0.00246137664813437 0.00372016956869726 0.00317055270931365 0.00314570473607936;0.0019915607179885 0.00310138082060019 0.0033688194529824 0.00262473306684388 0.0250450022007688 0.00346801354668216 0.00241530393268609 0.00311080419488992 0.00243214113387484;0.0026453774205599 0.00309715425182901 0.00359688660609541 0.00246137664813437 0.00346801354668216 0.0248910038721248 0.00284728027197849 0.00283546425348081 0.00246075001717162;0.00240428545191141 0.00356376015739176 0.00374909953812848 0.00372016956869726 0.00241530393268609 0.00284728027197849 0.0270826602777998 0.00379840888353592 0.00332733447838662;0.00287102162887843 0.0027128682612207 0.00328390148111315 0.00317055270931365 0.00311080419488992 0.00283546425348081 0.00379840888353592 0.0252754568891061 0.0023773338418072;0.00273318183823662 0.00378647937981795 0.00237436051992571 0.00314570473607936 0.00243214113387484 0.00246075001717162 0.00332733447838662 0.0023773338418072 0.0253841496989195]
intento: 6 tiempo: 0.024 [0.0257081178284116 0.00392186427206902 0.00338569600315637 0.00359900860368894 0.00277594229515273 0.00231060843766558 0.00290891175225185 0.00279903760334189 0.00363360619000111;0.00392186427206902 0.0246643936183388 0.00359484968231024 0.003741719084236 0.00256440638671342 0.00264834810422791 0.00314314171547547 0.00305218636212999 0.00291059145600383;0.00338569600315637 0.00359484968231024 0.0250903456783653 0.00259422780024439 0.003830755179551 0.00269892658071139 0.00269657579005784 0.0030609734031492 0.00301231766247281;0.00359900860368894 0.003741719084236 0.00259422780024439 0.024814414566313 0.00299267746755278 0.00205282526763765 0.00283553910996767 0.00218968675188811 0.00272669260835684;0.00277594229515273 0.00256440638671342 0.003830755179551 0.00299267746755278 0.026150945555269 0.00260430312920623 0.002744856708115 0.00265481063295638 0.00302455249969187;0.00231060843766558 0.00264834810422791 0.00269892658071139 0.00205282526763765 0.00260430312920623 0.0244692413755723 0.00245593037116143 0.00202820690204443 0.00329067741824557;0.00290891175225185 0.00314314171547547 0.00269657579005784 0.00283553910996767 0.002744856708115 0.00245593037116143 0.0244529873554976 0.00300249843730679 0.0029186866059682;0.00279903760334189 0.00305218636212999 0.0030609734031492 0.00218968675188811 0.00265481063295638 0.00202820690204443 0.00300249843730679 0.0243437982087504 0.00292682968503156;0.00363360619000111 0.00291059145600383 0.00301231766247281 0.00272669260835684 0.00302455249969187 0.00329067741824557 0.0029186866059682 0.00292682968503156 0.0249159614931949]
intento: 8 tiempo: 0.021 [0.0251516341644042 0.00298108672152826 0.00287077928364441 0.00338385669796567 0.00364452725353447 0.0035645069641159 0.00292887434932124 0.00270746419681779 0.00277945688762;0.00298108672152826 0.0256819826254224 0.00310696152505593 0.00274030715611376 0.00315777388683322 0.00243423970807462 0.00294678440407109 0.00187355481291045 0.00302027694847014;0.00287077928364441 0.00310696152505593 0.023022614336267 0.00266078220490279 0.00263851822617791 0.00271131247869395 0.00250665174779554 0.00201572163131605 0.00251950113012929;0.00338385669796567 0.00274030715611376 0.00266078220490279 0.0252976002705394 0.00277058225558845 0.00289935963621446 0.00235755194791486 0.00235429825767407 0.00285295180078495;0.00364452725353447 0.00315777388683322 0.00263851822617791 0.00277058225558845 0.0239555917080514 0.00291012659474633 0.00283714387958011 0.00200314821410236 0.00267516290818651;0.0035645069641159 0.00243423970807462 0.00271131247869395 0.00289935963621446 0.00291012659474633 0.0245939389823063 0.00263401906163421 0.00178975750526756 0.00243719217740523;0.00292887434932124 0.00294678440407109 0.00250665174779554 0.00235755194791486 0.00283714387958011 0.00263401906163421 0.0245796655345585 0.00220851985565691 0.00324400009579277;0.00270746419681779 0.00187355481291045 0.00201572163131605 0.00235429825767407 0.00200314821410236 0.00178975750526756 0.00220851985565691 0.0236998941767904 0.00284657546773335;0.00277945688762 0.00302027694847014 0.00251950113012929 0.00285295180078495 0.00267516290818651 0.00243719217740523 0.00324400009579277 0.00284657546773335 0.0243095052464878]
intento: 10 tiempo: 0.021 [0.0237980444277093 0.00276930451023649 0.00247947551919073 0.00246265557998835 0.00278923480539848 0.0027713009159248 0.00198051624291635 0.00293030067704309 0.00235140518656587;0.00276930451023649 0.0234906489191111 0.00223786055798786 0.00212882540606841 0.00347701053130932 0.00255629504946075 0.00184204603752375 0.00308442841153919 0.00152062952650117;0.00247947551919073 0.00223786055798786 0.0230828485465859 0.00251687987739725 0.00246345430298541 0.00245929605121268 0.00184242541784662 0.00190706594592476 0.00216179893838901;0.00246265557998835 0.00212882540606841 0.00251687987739725 0.0247156657734465 0.00238190082836165 0.0026310942107542 0.00254802228704603 0.00311632222651694 0.00220950277233826;0.00278923480539848 0.00347701053130932 0.00246345430298541 0.00238190082836165 0.0255110638483176 0.00353260517880081 0.00332426399089728 0.00318126298809132 0.00311440593154937;0.0027713009159248 0.00255629504946075 0.00245929605121268 0.0026310942107542 0.00353260517880081 0.0243665499242965 0.00320512117570724 0.00272442069893605 0.00279079470543584;0.00198051624291635 0.00184204603752375 0.00184242541784662 0.00254802228704603 0.00332426399089728 0.00320512117570724 0.024440995111021 0.00326628841322771 0.00268703636414798;0.00293030067704309 0.00308442841153919 0.00190706594592476 0.00311632222651694 0.00318126298809132 0.00272442069893605 0.00326628841322771 0.0252118326934632 0.00308394632572814;0.00235140518656587 0.00152062952650117 0.00216179893838901 0.00220950277233826 0.00311440593154937 0.00279079470543584 0.00268703636414798 0.00308394632572814 0.0236532416628676]
intento: 12 tiempo: 0.022 [0.0260565109202887 0.0028012259686932 0.0027632932021508 0.00275441311935458 0.00240644111845448 0.00328036224413757 0.00300796135456777 0.00326589423690766 0.00315792578382916;0.0028012259686932 0.0261105205729109 0.00359241111592958 0.00359213995986421 0.00294292593308994 0.00305091396925784 0.00265792408164106 0.0034541784967592 0.00248562521846233;0.0027632932021508 0.00359241111592958 0.0259930819258283 0.00280975987736187 0.00254085859391217 0.00318453600236806 0.00245308193732215 0.00261946421471106 0.0030415504527786;0.00275441311935458 0.00359213995986421 0.00280975987736187 0.026188403050171 0.00260288773646339 0.0035528315255916 0.00372540458862211 0.00326171966451694 0.00345098081489368;0.00240644111845448 0.00294292593308994 0.00254085859391217 0.00260288773646339 0.0256360585708658 0.00266797336059568 0.00223604510901278 0.00395580433904136 0.0032035878425115;0.00328036224413757 0.00305091396925784 0.00318453600236806 0.0035528315255916 0.00266797336059568 0.0262089496151693 0.00327956278089806 0.0034116691348055 0.00296572921102325;0.00300796135456777 0.00265792408164106 0.00245308193732215 0.00372540458862211 0.00223604510901278 0.00327956278089806 0.0250555217022059 0.00361581220205742 0.00255173550706076;0.00326589423690766 0.0034541784967592 0.00261946421471106 0.00326171966451694 0.00395580433904136 0.0034116691348055 0.00361581220205742 0.0265259623507773 0.00333740923928822;0.00315792578382916 0.00248562521846233 0.0030415504527786 0.00345098081489368 0.0032035878425115 0.00296572921102325 0.00255173550706076 0.00333740923928822 0.0266688280020469]
intento: 14 tiempo: 0.021 [0.0257302179670089 0.00209154072443851 0.00231263808466375 0.00283097072972625 0.0028107590010546 0.00187077016878858 0.0034198706196744 0.00317312824234263 0.00349685011010813;0.00209154072443851 0.0273501207195947 0.00276177876256445 0.00335848470804941 0.00310915421251181 0.00251813813343491 0.00321710391512415 0.00397160927826178 0.00263549251238014;0.00231263808466375 0.00276177876256445 0.025753154199765 0.00332887896156285 0.00282887293367462 0.00219151790621321 0.00291911536154099 0.00299802031826706 0.00291369635792131;0.00283097072972625 0.00335848470804941 0.00332887896156285 0.0268705440366288 0.00341914491492004 0.00263281667582224 0.0039914336921886 0.00399967433610225 0.00359138307201879;0.0028107590010546 0.00310915421251181 0.00282887293367462 0.00341914491492004 0.0272363555885813 0.00234522382833779 0.00304702944297833 0.00347178516623469 0.00285305536653344;0.00187077016878858 0.00251813813343491 0.00219151790621321 0.00263281667582224 0.00234522382833779 0.0247784384489171 0.00215987222377494 0.00238957691757305 0.00241377627120917;0.0034198706196744 0.00321710391512415 0.00291911536154099 0.0039914336921886 0.00304702944297833 0.00215987222377494 0.0264732247427176 0.00339154167374812 0.00341229444240634;0.00317312824234263 0.00397160927826178 0.00299802031826706 0.00399967433610225 0.00347178516623469 0.00238957691757305 0.00339154167374812 0.0276681728007536 0.0039376355234934;0.00349685011010813 0.00263549251238014 0.00291369635792131 0.00359138307201879 0.00285305536653344 0.00241377627120917 0.00341229444240634 0.0039376355234934 0.0258839570787408]
intento: 16 tiempo: 0.024 [0.0247582302119047 0.00365952907512801 0.00290186842227926 0.00278318124913031 0.00308199735795167 0.00239346529304962 0.00317129537703825 0.00274183262356399 0.00271763088780602;0.00365952907512801 0.0260725845850958 0.00197072201213187 0.00343423162990387 0.00248730430517611 0.00232818788716933 0.00280982934696118 0.002036426450588 0.00179672006920075;0.00290186842227926 0.00197072201213187 0.0239650731629016 0.0023027771674154 0.00310541536642366 0.00225344059762754 0.00244502706162977 0.00265160051186404 0.00213948112902264;0.00278318124913031 0.00343423162990387 0.0023027771674154 0.0241127150286009 0.00342615722465096 0.00271079631385785 0.00283887001790254 0.00257567889244604 0.00300840498390933;0.00308199735795167 0.00248730430517611 0.00310541536642366 0.00342615722465096 0.0264297277679214 0.00268943802030257 0.00349166257885912 0.00340808870108904 0.00264954204638757;0.00239346529304962 0.00232818788716933 0.00225344059762754 0.00271079631385785 0.00268943802030257 0.0250182680610808 0.0028526893881883 0.00282236985751533 0.00244687059499046;0.00317129537703825 0.00280982934696118 0.00244502706162977 0.00283887001790254 0.00349166257885912 0.0028526893881883 0.0251379029589561 0.00249821456740268 0.00308410925414178;0.00274183262356399 0.002036426450588 0.00265160051186404 0.00257567889244604 0.00340808870108904 0.00282236985751533 0.00249821456740268 0.0246671230329691 0.00256262989669394;0.00271763088780602 0.00179672006920075 0.00213948112902264 0.00300840498390933 0.00264954204638757 0.00244687059499046 0.00308410925414178 0.00256262989669394 0.0251774484964517]
intento: 18 tiempo: 0.022 [0.0242421554427475 0.00228951579299117 0.00299550797537673 0.002727645907855 0.00277362455094945 0.00233330827757888 0.00241976009895324 0.00354418083385933 0.00263164954724498;0.00228951579299117 0.0244011940995938 0.00225528436991068 0.00283031072123292 0.00307842808415233 0.00241927223872697 0.00264118474219777 0.00250333376452014 0.00245940859104955;0.00299550797537673 0.00225528436991068 0.0245367298652963 0.00223463912075487 0.00215432030075146 0.00294851231621236 0.00221444516019374 0.00385119832044115 0.00298000197483682;0.002727645907855 0.00283031072123292 0.00223463912075487 0.0243815880601788 0.00224248442463675 0.00234884972243134 0.00221398548241192 0.00304281800976699 0.00242207460353974;0.00277362455094945 0.00307842808415233 0.00215432030075146 0.00224248442463675 0.0242915647716392 0.00259555002961909 0.00289269707661795 0.0037540288308873 0.00328078486171259;0.00233330827757888 0.00241927223872697 0.00294851231621236 0.00234884972243134 0.00259555002961909 0.0243807647864549 0.00305137168318533 0.00350117426491442 0.00253288823369983;0.00241976009895324 0.00264118474219777 0.00221444516019374 0.00221398548241192 0.00289269707661795 0.00305137168318533 0.0243783551754457 0.00291471044945892 0.00229951264626239;0.00354418083385933 0.00250333376452014 0.00385119832044115 0.00304281800976699 0.0037540288308873 0.00350117426491442 0.00291471044945892 0.026358744358518 0.00343363400971215;0.00263164954724498 0.00245940859104955 0.00298000197483682 0.00242207460353974 0.00328078486171259 0.00253288823369983 0.00229951264626239 0.00343363400971215 0.0249938207773207]
intento: 20 tiempo: 0.02 [0.0242295887903436 0.00275232858810221 0.00234341257585427 0.00314436809954711 0.0034786809982824 0.002659945551645 0.00167745587847092 0.00272551737197995 0.00313106864530242;0.00275232858810221 0.0254384720991766 0.00259756471305948 0.00247178798460496 0.002998630061498 0.00332982718567402 0.00286266478590478 0.00217402758794128 0.00266737680552409;0.00234341257585427 0.00259756471305948 0.023505170095952 0.00299672987784648 0.00262137219885546 0.00275257494255393 0.00303516549587092 0.00283411451613867 0.00253832627639076;0.00314436809954711 0.00247178798460496 0.00299672987784648 0.0238029634472522 0.00354961311514689 0.00317966127951925 0.00249756155510976 0.00258060881701116 0.00327397726752162;0.0034786809982824 0.002998630061498 0.00262137219885546 0.00354961311514689 0.0253158744886028 0.00373110370199478 0.00237235987427514 0.00281632226441962 0.00321202505431767;0.002659945551645 0.00332982718567402 0.00275257494255393 0.00317966127951925 0.00373110370199478 0.0250952619531061 0.00246176586201794 0.0024274108340011 0.00310271733361385;0.00167745587847092 0.00286266478590478 0.00303516549587092 0.00249756155510976 0.00237235987427514 0.00246176586201794 0.0237232154092149 0.00202401102196036 0.00227807164349657;0.00272551737197995 0.00217402758794128 0.00283411451613867 0.00258060881701116 0.00281632226441962 0.0024274108340011 0.00202401102196036 0.0232711353496488 0.00256263417886238;0.00313106864530242 0.00266737680552409 0.00253832627639076 0.00327397726752162 0.00321202505431767 0.00310271733361385 0.00227807164349657 0.00256263417886238 0.0246213641524006]
