intento: 1 tiempo: 0.088 [0.0227932795162771 0.00162952698683861 0.00163824185622283 0.00176806527942233 0.00192753326709882 0.00157011431200491 0.00239633102468386 0.00247395237181015 0.00185331000947808;0.00162952698683861 0.0219633353672992 0.00235608477376079 0.00167177917041703 0.00273459983129488 0.00100874343128154 0.00145157932773753 0.00169207318546367 0.00152823065493423;0.00163824185622283 0.00235608477376079 0.0225008403475488 0.00285734752834893 0.00243615131077991 0.00205206310595112 0.00287250174329649 0.00200823786836243 0.00200956651412962;0.00176806527942233 0.00167177917041703 0.00285734752834893 0.0227482366135639 0.00238623484970457 0.00241831516814065 0.00220036253571186 0.00255103968683192 0.00293724156450654;0.00192753326709882 0.00273459983129488 0.00243615131077991 0.00238623484970457 0.0236569021056031 0.00212442462987556 0.0019305860849758 0.00189038016156781 0.00280131276934585;0.00157011431200491 0.00100874343128154 0.00205206310595112 0.00241831516814065 0.00212442462987556 0.0230148603676768 0.00210930422912105 0.00177573354854008 0.00256487307839588;0.00239633102468386 0.00145157932773753 0.00287250174329649 0.00220036253571186 0.0019305860849758 0.00210930422912105 0.023051476905856 0.0025154122655442 0.00165640375089834;0.00247395237181015 0.00169207318546367 0.00200823786836243 0.00255103968683192 0.00189038016156781 0.00177573354854008 0.0025154122655442 0.0232186696467786 0.00234043052278334;0.00185331000947808 0.00152823065493423 0.00200956651412962 0.00293724156450654 0.00280131276934585 0.00256487307839588 0.00165640375089834 0.00234043052278334 0.0232423655132424]
intento: 2 tiempo: 0.02 [0.0233853147874334 0.00286775442670939 0.00240805337441023 0.00236210961143539 0.00248724001995655 0.00204809131992185 0.00326525892393411 0.00229321668373837 0.00212883963871797;0.00286775442670939 0.0240879640007586 0.00262715972008812 0.00283394470856387 0.00176171033534319 0.00282675831017825 0.00291081076678363 0.00283112161942058 0.00307352875105743;0.00240805337441023 0.00262715972008812 0.0223383704752959 0.00218505984751914 0.00174924904835041 0.00236850310609318 0.00260232595854228 0.00195770376940863 0.00199156491334973;0.00236210961143539 0.00283394470856387 0.00218505984751914 0.0231218016584718 0.00234553212063003 0.00224793474593124 0.00226220848433846 0.00225100765305044 0.00180109643626973;0.00248724001995655 0.00176171033534319 0.00174924904835041 0.00234553212063003 0.0232192572252149 0.00191533119582115 0.00264349279262175 0.00220613777332294 0.00230065207913974;0.00204809131992185 0.00282675831017825 0.00236850310609318 0.00224793474593124 0.00191533119582115 0.0232701354039046 0.0023403675265346 0.00218606734732154 0.00284088584048003;0.00326525892393411 0.00291081076678363 0.00260232595854228 0.00226220848433846 0.00264349279262175 0.0023403675265346 0.0245192364886646 0.00215458871532681 0.00293547981816297;0.00229321668373837 0.00283112161942058 0.00195770376940863 0.00225100765305044 0.00220613777332294 0.00218606734732154 0.00215458871532681 0.0229176112926336 0.00274392153818943;0.00212883963871797 0.00307352875105743 0.00199156491334973 0.00180109643626973 0.00230065207913974 0.00284088584048003 0.00293547981816297 0.00274392153818943 0.023930200808508]
intento: 3 tiempo: 0.021 [0.0226964428080349 0.00243345759122424 0.00282864060535958 0.00324873358176772 0.00251771109903431 0.00292060595143387 0.002037740746008 0.00180781003252733 0.00264006945398244;0.00243345759122424 0.0226799017588808 0.00189140967486224 0.00259536284898038 0.0015922982815941 0.00257530133224554 0.00196797850480313 0.0020462520978755 0.0023855433607244;0.00282864060535958 0.00189140967486224 0.0236528863606845 0.00271324825500802 0.00254518373890371 0.00284650465247934 0.00278356978643289 0.00306840183138064 0.00261886166407168;0.00324873358176772 0.00259536284898038 0.00271324825500802 0.024413490911889 0.00274425784039729 0.00268108099314102 0.00218632693237041 0.00267042025420033 0.00275011044961547;0.00251771109903431 0.0015922982815941 0.00254518373890371 0.00274425784039729 0.0227313328977007 0.00204948608638611 0.00158142608366912 0.00246552249068785 0.00202378112418186;0.00292060595143387 0.00257530133224554 0.00284650465247934 0.00268108099314102 0.00204948608638611 0.024000963442146 0.00280518245071354 0.00282777296605011 0.00206897112584119;0.002037740746008 0.00196797850480313 0.00278356978643289 0.00218632693237041 0.00158142608366912 0.00280518245071354 0.0223717094449992 0.00197838421866451 0.00222626656301698;0.00180781003252733 0.0020462520978755 0.00306840183138064 0.00267042025420033 0.00246552249068785 0.00282777296605011 0.00197838421866451 0.0234818777619972 0.00245860118332176;0.00264006945398244 0.0023855433607244 0.00261886166407168 0.00275011044961547 0.00202378112418186 0.00206897112584119 0.00222626656301698 0.00245860118332176 0.0233251014433251]
intento: 4 tiempo: 0.02 [0.0245566924507257 0.00250104295458668 0.00278734608352798 0.0030468818882444 0.0024966258885623 0.00288737462155897 0.00244619414321105 0.00261592616090117 0.00232602019424032;0.00250104295458668 0.0229865100744039 0.0022079083495621 0.00173146734579541 0.00149716024199301 0.00280504899309813 0.00193147716288631 0.0024155735490736 0.00165836356664066;0.00278734608352798 0.0022079083495621 0.0235144780856952 0.00274686516082788 0.0019827622330292 0.00234653068633862 0.00236232758047752 0.0028358466200599 0.00167205519625964;0.0030468818882444 0.00173146734579541 0.00274686516082788 0.0226225233570613 0.00245109298305984 0.00289448706609353 0.00200695376403743 0.00262697579731203 0.00202561280511735;0.0024966258885623 0.00149716024199301 0.0019827622330292 0.00245109298305984 0.0223924384297418 0.00195781798465199 0.00211779816955637 0.00250384462567708 0.00157228794296406;0.00288737462155897 0.00280504899309813 0.00234653068633862 0.00289448706609353 0.00195781798465199 0.0231131361641674 0.00242376764680839 0.00269781315049971 0.00266051306581466;0.00244619414321105 0.00193147716288631 0.00236232758047752 0.00200695376403743 0.00211779816955637 0.00242376764680839 0.0231092248565073 0.00301476352111633 0.00191322010726717;0.00261592616090117 0.0024155735490736 0.0028358466200599 0.00262697579731203 0.00250384462567708 0.00269781315049971 0.00301476352111633 0.023474589662922 0.00221692484291203;0.00232602019424032 0.00165836356664066 0.00167205519625964 0.00202561280511735 0.00157228794296406 0.00266051306581466 0.00191322010726717 0.00221692484291203 0.0233439737672067]
intento: 5 tiempo: 0.02 [0.0232044614715217 0.00214140461544817 0.00246203948220924 0.00257570117851676 0.00147873725688531 0.00237776955235439 0.00213826629428802 0.00317575888348437 0.00245904464733512;0.00214140461544817 0.0232524560453551 0.00255615912279732 0.00210701388472659 0.00200237677821992 0.00179170905406788 0.00236653184732032 0.00278116518938674 0.00251614386449384;0.00246203948220924 0.00255615912279732 0.0223250297511358 0.00272878671289756 0.00216947321730309 0.00240694858902053 0.00255454738727448 0.0030953537884928 0.00270437880408359;0.00257570117851676 0.00210701388472659 0.00272878671289756 0.0230585415613769 0.00168743952085926 0.00245045229697607 0.00221888905937059 0.00333799761415889 0.00273386548644753;0.00147873725688531 0.00200237677821992 0.00216947321730309 0.00168743952085926 0.0223671179900333 0.00133903409944793 0.00222230106511668 0.00284967848038195 0.00220369959858704;0.00237776955235439 0.00179170905406788 0.00240694858902053 0.00245045229697607 0.00133903409944793 0.0233198700386138 0.00154732268819706 0.00214273100485873 0.00250052825345917;0.00213826629428802 0.00236653184732032 0.00255454738727448 0.00221888905937059 0.00222230106511668 0.00154732268819706 0.0237193201902806 0.00284163652390863 0.00255924995580444;0.00317575888348437 0.00278116518938674 0.0030953537884928 0.00333799761415889 0.00284967848038195 0.00214273100485873 0.00284163652390863 0.0247999428077237 0.00289771669690231;0.00245904464733512 0.00251614386449384 0.00270437880408359 0.00273386548644753 0.00220369959858704 0.00250052825345917 0.00255924995580444 0.00289771669690231 0.023982272292805]
intento: 6 tiempo: 0.02 [0.0237888112400953 0.00235245339083774 0.00240690955601665 0.00199712889095456 0.00214310402716094 0.00189348020058429 0.00235343647970698 0.00166261755066942 0.00186150377572775;0.00235245339083774 0.0239282664321197 0.00241785143497221 0.00268001302496187 0.00217725178532435 0.00238095334885739 0.00227271068052238 0.00212336822359684 0.00174198981417732;0.00240690955601665 0.00241785143497221 0.0235940732216773 0.0022189818210017 0.00220210758337515 0.00210390136594962 0.00162147412812069 0.00256167661315965 0.00197311180739527;0.00199712889095456 0.00268001302496187 0.0022189818210017 0.0232361277589976 0.00256321178483437 0.0023367678377552 0.00225311794670005 0.0024326545017426 0.00222522866302097;0.00214310402716094 0.00217725178532435 0.00220210758337515 0.00256321178483437 0.02354076923289 0.00221146551140639 0.00208578325682212 0.00302043267459492 0.00198618331657725;0.00189348020058429 0.00238095334885739 0.00210390136594962 0.0023367678377552 0.00221146551140639 0.023023968335248 0.00231601334003563 0.00214238863308975 0.00210189362967813;0.00235343647970698 0.00227271068052238 0.00162147412812069 0.00225311794670005 0.00208578325682212 0.00231601334003563 0.0226217405369109 0.0018924384872076 0.0020981914851075;0.00166261755066942 0.00212336822359684 0.00256167661315965 0.0024326545017426 0.00302043267459492 0.00214238863308975 0.0018924384872076 0.0228192225864455 0.00196783505483634;0.00186150377572775 0.00174198981417732 0.00197311180739527 0.00222522866302097 0.00198618331657725 0.00210189362967813 0.0020981914851075 0.00196783505483634 0.0230862073436637]
intento: 7 tiempo: 0.02 [0.0239649154142538 0.00256188645551465 0.00268504040707047 0.00313638009737521 0.00158204012945739 0.00252603669271499 0.00220924780382103 0.00188450972708832 0.0023479756924456;0.00256188645551465 0.0225280051737748 0.00247307046405807 0.00252476645614314 0.00239368523349037 0.00188762820881412 0.00164561850044696 0.00230535785081471 0.00235388023621421;0.00268504040707047 0.00247307046405807 0.0223751128020141 0.00232159702699428 0.0016941862190646 0.00190305825707067 0.00208285736300866 0.00205944059098909 0.00266880404217899;0.00313638009737521 0.00252476645614314 0.00232159702699428 0.0230801642994767 0.00208633930634057 0.00220148895658629 0.00223305874251385 0.00268719738031071 0.00215016944733563;0.00158204012945739 0.00239368523349037 0.0016941862190646 0.00208633930634057 0.0223627774493482 0.00188065694101014 0.00134336195030729 0.00251468990868721 0.00163604241778342;0.00252603669271499 0.00188762820881412 0.00190305825707067 0.00220148895658629 0.00188065694101014 0.0237061534819584 0.00209589095245211 0.00201123602884017 0.00190254445223954;0.00220924780382103 0.00164561850044696 0.00208285736300866 0.00223305874251385 0.00134336195030729 0.00209589095245211 0.0224570422646214 0.00194168343398681 0.00198177461917022;0.00188450972708832 0.00230535785081471 0.00205944059098909 0.00268719738031071 0.00251468990868721 0.00201123602884017 0.00194168343398681 0.0237233575336143 0.00186006927914956;0.0023479756924456 0.00235388023621421 0.00266880404217899 0.00215016944733563 0.00163604241778342 0.00190254445223954 0.00198177461917022 0.00186006927914956 0.0227892461164328]
intento: 8 tiempo: 0.02 [0.0232570716478768 0.00270104198237201 0.00298128678841485 0.00207261975777585 0.00234224979165041 0.00222220883079023 0.0018102137988907 0.00219773809543329 0.00293240127702638;0.00270104198237201 0.0238638780988952 0.00203408719567186 0.00315554208263881 0.00230108646843487 0.00273285464072478 0.00256655952435607 0.00234020059501111 0.00265205084830683;0.00298128678841485 0.00203408719567186 0.0231274482104418 0.00223340152192753 0.00290163835215617 0.00232518986259035 0.00173844642072994 0.00186339355433026 0.00257130368499157;0.00207261975777585 0.00315554208263881 0.00223340152192753 0.0233093460529587 0.00300457189660385 0.0021654911818143 0.00174219767974593 0.00225463141466836 0.00260563110723972;0.00234224979165041 0.00230108646843487 0.00290163835215617 0.00300457189660385 0.0232253941288743 0.00249286015962489 0.00166919725950075 0.00166521398968463 0.00212110872195693;0.00222220883079023 0.00273285464072478 0.00232518986259035 0.0021654911818143 0.00249286015962489 0.0228146670647029 0.00161719100587874 0.00180464543073803 0.00265569090851034;0.0018102137988907 0.00256655952435607 0.00173844642072994 0.00174219767974593 0.00166919725950075 0.00161719100587874 0.0229165094910513 0.00126341756436783 0.00258456118406462;0.00219773809543329 0.00234020059501111 0.00186339355433026 0.00225463141466836 0.00166521398968463 0.00180464543073803 0.00126341756436783 0.0221226910947305 0.00242718467537051;0.00293240127702638 0.00265205084830683 0.00257130368499157 0.00260563110723972 0.00212110872195693 0.00265569090851034 0.00258456118406462 0.00242718467537051 0.0233335885316208]
intento: 9 tiempo: 0.021 [0.0236700471546195 0.00231039633350647 0.00259068016294467 0.00237124380436834 0.00240774212763234 0.00222479481758129 0.00289044206232673 0.00208765048919516 0.00277771303605925;0.00231039633350647 0.0233854855634483 0.00149670676491115 0.00242066322801366 0.00280453071297536 0.0017346226650997 0.00285204620085215 0.00199629317019486 0.0023573356346587;0.00259068016294467 0.00149670676491115 0.0226497995842765 0.00167838060093283 0.00192014933577164 0.00198117966389887 0.00169668797047782 0.00210768592035323 0.00220256619763835;0.00237124380436834 0.00242066322801366 0.00167838060093283 0.0225455361616885 0.00206493674323396 0.00222808297420989 0.00262503589607731 0.00119097433733574 0.00168945949705197;0.00240774212763234 0.00280453071297536 0.00192014933577164 0.00206493674323396 0.0224963776139519 0.00196079675860721 0.0029424874037279 0.0021954113526648 0.0018049650832896;0.00222479481758129 0.0017346226650997 0.00198117966389887 0.00222808297420989 0.00196079675860721 0.0222464676015042 0.00232250099077959 0.00152604557043631 0.00190491971246704;0.00289044206232673 0.00285204620085215 0.00169668797047782 0.00262503589607731 0.0029424874037279 0.00232250099077959 0.0235400552474388 0.00235140883747786 0.00244761262372843;0.00208765048919516 0.00199629317019486 0.00210768592035323 0.00119097433733574 0.0021954113526648 0.00152604557043631 0.00235140883747786 0.022171250771464 0.00219420932893666;0.00277771303605925 0.0023573356346587 0.00220256619763835 0.00168945949705197 0.0018049650832896 0.00190491971246704 0.00244761262372843 0.00219420932893666 0.023121869280827]
intento: 10 tiempo: 0.02 [0.023711296085944 0.00211732326142206 0.00240212819776895 0.00269548710302855 0.00245019596601283 0.00196878040239609 0.00249044300962345 0.00174569379788628 0.00262885759829205;0.00211732326142206 0.0234714441696394 0.00242038159934668 0.0028075890656695 0.0022141186795141 0.00272594451994391 0.00241835504370261 0.00329327685074145 0.00268656885898803;0.00240212819776895 0.00242038159934668 0.0243953563533611 0.00322317114078275 0.00289474701999554 0.00249550605856757 0.00307718029560916 0.00238551954353894 0.00258947176572756;0.00269548710302855 0.0028075890656695 0.00322317114078275 0.0241694986686864 0.00248862183826926 0.00244803363828052 0.00212440384684863 0.00239351107062595 0.00307635857632042;0.00245019596601283 0.0022141186795141 0.00289474701999554 0.00248862183826926 0.0233355531018328 0.00171737968845018 0.00171377290202724 0.0027810952646958 0.00202485108348377;0.00196878040239609 0.00272594451994391 0.00249550605856757 0.00244803363828052 0.00171737968845018 0.0234426700280824 0.0026741960837252 0.00184814460462933 0.00245153795099659;0.00249044300962345 0.00241835504370261 0.00307718029560916 0.00212440384684863 0.00171377290202724 0.0026741960837252 0.0235931890277592 0.00168211934158731 0.00336597923358819;0.00174569379788628 0.00329327685074145 0.00238551954353894 0.00239351107062595 0.0027810952646958 0.00184814460462933 0.00168211934158731 0.0229240963896623 0.00234715177943088;0.00262885759829205 0.00268656885898803 0.00258947176572756 0.00307635857632042 0.00202485108348377 0.00245153795099659 0.00336597923358819 0.00234715177943088 0.0242888354854871]
